subject,label
CONGRATULATIONS! YOU'VE WON A PRIZE,spam
free money now!,spam
your invoice is attached,ham
YOUR INVOICE IS ATTACHED,ham
IMPORTANT UPDATE ON YOUR ACCOUNT,ham
FREE MONEY NOW!,spam
exclusive offer just for you,spam
win a free iphone!,spam
LET'S CATCH UP THIS WEEKEND,ham
MEETING TOMORROW AT 3 PM,ham
free money now!,spam
YOUR INVOICE IS ATTACHED,ham
congratulations! you've won a prize,spam
MEETING TOMORROW AT 3 PM,ham
exclusive offer just for you,spam
congratulations! you've won a prize,spam
FREE MONEY NOW!,spam
IMPORTANT UPDATE ON YOUR ACCOUNT,ham
CONGRATULATIONS! YOU'VE WON A PRIZE,spam
MEETING TOMORROW AT 3 PM,ham
important update on your account,ham
LET'S CATCH UP THIS WEEKEND,ham
your invoice is attached,ham
win a free iphone!,spam
your invoice is attached,ham
CONGRATULATIONS! YOU'VE WON A PRIZE,spam
free money now!,spam
exclusive offer just for you,spam
CONGRATULATIONS! YOU'VE WON A PRIZE,spam
win a free iphone!,spam
let's catch up this weekend,ham
LET'S CATCH UP THIS WEEKEND,ham
meeting tomorrow at 3 pm,ham
WIN A FREE IPHONE!,spam
win a free iphone!,spam
LET'S CATCH UP THIS WEEKEND,ham
free money now!,spam
FREE MONEY NOW!,spam
IMPORTANT UPDATE ON YOUR ACCOUNT,ham
important update on your account,ham
meeting tomorrow at 3 pm,ham
WIN A FREE IPHONE!,spam
exclusive offer just for you,spam
MEETING TOMORROW AT 3 PM,ham
congratulations! you've won a prize,spam
free money now!,spam
exclusive offer just for you,spam
important update on your account,ham
win a free iphone!,spam
EXCLUSIVE OFFER JUST FOR YOU,spam
meeting tomorrow at 3 pm,ham
EXCLUSIVE OFFER JUST FOR YOU,spam
LET'S CATCH UP THIS WEEKEND,ham
LET'S CATCH UP THIS WEEKEND,ham
your invoice is attached,ham
FREE MONEY NOW!,spam
FREE MONEY NOW!,spam
exclusive offer just for you,spam
MEETING TOMORROW AT 3 PM,ham
congratulations! you've won a prize,spam
